id,available_icu_beds_with_ventilator,total_beds_allocated_to_covid,pincode,total_beds_without_oxygen,occupied_beds_without_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,occupied_beds_with_oxygen,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,area,occupied_icu_beds_with_ventilator,available_beds_without_oxygen,total_icu_beds_without_ventilator,occupied_icu_beds_without_ventilator
77,0,19,382418,5,5,,Jyoti multi. Spe. Hospital,0,2,9,"Second floor, Rudra business park, Vastral Road, Mahadev Nagar Tekra, Ahmedabad, Gujarat 382418, India",Ahmedabad,9,0,VASTRAL,2,0,3,3
78,0,16,380038,10,10,,SARTHAK,0,0,6,"Nikol, Ahmedabad, Gujarat 380038, India",Ahmedabad,6,0,NIKOL,0,0,0,0
79,0,34,382350,13,13,,PARIKH,0,2,13,"parikh superspeciality hospital, police station, Sardar Patel Ring Rd, opp. nikol, beside criket ground, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,13,0,NIKOL,2,0,6,6
80,0,35,382418,26,26,,Narayan medical hospital,0,0,9,"A/16, Vastral Road, Mahadev Nagar Tekra, Ahmedabad, Gujarat 382418, India",Ahmedabad,9,0,VASTRAL,0,0,0,0
81,0,48,382415,11,11,,"CUH, Central United hospital, Odhav",0,1,28,"Mangalam Arcade,, Opp.Odhav talav B.R.T.S Bus stop, Odhav, G I D C Ahmedabad, G I D C Industrial Area, Odhav, Ahmedabad, Gujarat 382415, India",Ahmedabad,28,0,Odhav,1,0,8,8
82,0,25,380026,10,10,,"Tapan Hospital, Khokhra",0,3,6,"4th Floor, Radhe Mall, Khokhra, Khokhra Cir, Maninagar East, Khokhra, Ahmedabad, Gujarat 380026, India",Ahmedabad,6,0,Amaraiwadi,3,0,6,6
83,0,62,382418,18,18,,Avadh Hospital,0,1,24,"2nd Floor, Avadh Pride,Opp- Metro Pillar No: 139, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418, India",Ahmedabad,24,0,VASTRAL,1,0,19,19
84,0,100,382325,58,52,,"Shalby, Nikol",0,5,29,"Haridarshan Cross Road, Kathwada Rd, New India Colony, Naroda, Ahmedabad, Gujarat 382325, India",Ahmedabad,29,0,Nikol,5,6,8,8
85,0,60,382350,16,16,,"Kanba Hospital, Nikol, Viratnagar",0,6,32,"33/4, Opposite Abjibapa green Avenue Anjana Chowk highway, Virat Nagar Rd, near कृष एक्सोटिका, Nikol, Ahmedabad, Gujarat 382350, India",Ahmedabad,32,0,Nikol,6,0,6,6
86,0,80,380038,12,12,,Health1 Hospital,0,6,46,"Vastral Cross Road, RAF Camp, Sardar Patel Ring Rd, Vastral, Ahmedabad, Gujarat 380038, India",Ahmedabad,46,0,VASTRAL,6,0,16,16
